ds	y	pred
2021-07-12	31109.67222	0.184946538
2021-07-13	29574.24734	0.16344149
2021-07-14	27704.99833	0.14867743
2021-07-15	30874.40545	0.171901703
2021-07-16	29645.64487	0.172120234
2021-07-17	28057.24887	0.166014312
2021-07-18	25855.74193	0.156097888
2021-07-19	26549.69141	0.160092206
2021-07-20	27214.23526	0.165419991
2021-07-21	28197.90231	0.161941503
2021-07-22	27158.80449	0.151303375
2021-07-23	28250.93672	0.155322217
2021-07-24	27917.57375	0.154144505
2021-07-25	24438.36649	0.141891313
2021-07-26	31085.30735	0.156558454
2021-07-27	30869.37443	0.162238988
2021-07-28	33194.22427	0.169033157
2021-07-29	40273.05106	0.216242757
2021-07-30	35366.73247	0.172219891
2021-07-31	29715.33866	0.159986102
2021-08-01	17409.79089	0.135597664
2021-08-02	19570.83969	0.145173559
2021-08-03	23058.59213	0.150696599
2021-08-04	23439.76519	0.159941626
2021-08-05	31480.79556	0.195082143
2021-08-06	31140.31767	0.167831619
2021-08-07	28665.61701	0.162073686
2021-08-08	24789.83405	0.147339281
2021-08-09	28249.5586	0.154944924
2021-08-10	27897.2077	0.158808237
2021-08-11	30764.55166	0.160434276
2021-08-12	29957.21023	0.147642285
2021-08-13	33526.57194	0.144645756
2021-08-14	32016.86936	0.148504693
2021-08-15	28092.8599	0.148592298
2021-08-16	30445.11291	0.155241123
2021-08-17	32409.25894	0.149376893
2021-08-18	34693.58301	0.138244028
2021-08-19	36363.09595	0.156334361
2021-08-20	38640.077	0.163269868
2021-08-21	38092.20327	0.166076963
2021-08-22	35195.3447	0.152286716
2021-08-23	35107.17357	0.162174215
2021-08-24	36645.16503	0.157561921
2021-08-25	34451.17321	0.17143444
2021-08-26	35530.47791	0.164279052
2021-08-27	35493.66067	0.177430424
2021-08-28	38324.27478	0.172853201
2021-08-29	30330.93932	0.163036716
2021-08-30	32109.36654	0.191613549
2021-08-31	30642.21422	0.186180443
2021-09-01	32754.8019	0.170595176
2021-09-02	37594.12302	0.19169336
2021-09-03	44329.32587	0.196975094
2021-09-04	38297.33529	0.190517755
2021-09-05	35194.24048	0.181255261
2021-09-06	35135.76305	0.204501376
2021-09-07	37098.31515	0.204571721
2021-09-08	44757.56573	0.218475199
2021-09-09	49576.53538	0.210867807
2021-09-10	45517.14332	0.210805462
2021-09-11	43940.95036	0.201384619
2021-09-12	46584.3546	0.218977568
2021-09-13	51150.49906	0.270288312
2021-09-14	52116.36264	0.243889963
2021-09-15	51917.58439	0.259947165
2021-09-16	53867.83209	0.254464841
2021-09-17	47670.41144	0.225073731
2021-09-18	49888.61514	0.205212512
2021-09-19	44778.22821	0.18795396
2021-09-20	46568.73881	0.218112127
2021-09-21	45169.83002	0.206818555
2021-09-22	47324.60846	0.22789423
2021-09-23	53943.97958	0.25199828
2021-09-24	58434.08706	0.241785695
2021-09-25	53663.66229	0.206005499
2021-09-26	65052.79554	0.249644912
2021-09-27	60571.44403	0.302249746
2021-09-28	57317.66058	0.297746883
2021-09-29	53116.8862	0.281457416
2021-09-30	64310.92969	0.304586313
2021-10-01	51571.46742	0.265169665
2021-10-02	42149.52955	0.211642336
2021-10-03	36677.96374	0.196766654
2021-10-04	43804.58384	0.236172603
2021-10-05	43685.23285	0.2133506
2021-10-06	45121.2644	0.224590889
2021-10-07	47017.05959	0.222107139
2021-10-08	52760.2277	0.202996378
2021-10-09	53873.24874	0.193346601
2021-10-10	55519.32359	0.236437545
2021-10-11	51583.1158	0.235021788
2021-10-12	67834.28418	0.278234737
2021-10-13	56798.11578	0.276419578
2021-10-14	60969.0799	0.264130771
2021-10-15	67985.78186	0.285349987
2021-10-16	58453.69558	0.24481965
