Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,11/14/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Qatar,QAT,Age dependency ratio (% of working-age population),SP.POP.DPND,79.51884827,77.94580752,76.17422345,74.33195865,72.41317717,70.50596272,68.41172748,66.26847267,64.36696471,62.7813907,61.4941088,60.58519793,59.15869048,57.48037598,55.8374142,54.45091592,54.30828636,54.11770669,54.02928347,54.11921902,54.42450089,50.75943522,48.15392421,46.27942921,44.73031684,43.26290146,43.81455594,43.67197121,43.16443487,42.58899656,42.01974496,41.36402125,40.98816366,40.80349899,40.58441108,40.22618404,39.80711424,39.17951441,38.53045918,38.03905693,37.76246223,35.33840855,33.40282484,31.91782843,30.75253069,29.78973733,24.65033994,21.10528925,18.8097323,17.37527061,16.45280382,16.71746008,16.80122783,16.98681394,17.27836744,17.53105774,17.74405347,17.90255657
Qatar,QAT,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,,,1.05,,,,,1.05,,,,,1.05,,,,,1.05,,,,,1.05,,,,,1.052,,,1.052,,1.052,,,,,1.05,,,,,1.048,,,,,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045
Qatar,QAT,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.242881698,0.227218774,0.22867248,0.218794443,0.209344137,0.198629678,0.19967807,0.196316724,0.192284581,0.188522143,0.183121361,0.177293492,0.176224821,0.172643888,0.174671637,0.173835076,0.180232202,0.183909215,0.183357072,0.174808948,0.161711303,0.160188427,0.162375707,0.17489494,0.191963143,0.206365904,0.207069572,0.203656659,0.200258961,0.194614692,0.188075393,0.187291791,0.187173469,0.186697643,0.190394465,0.19410649,0.198154829,0.201406422,0.203108222,0.202572727,0.201893136,0.190896364,0.176737681,0.16068019,0.142425887,0.120464816,0.097643102,0.085605854,0.07995964,0.076544889,0.070916205,0.064713761,0.055982315,0.050444568,0.053474298,0.065680901,0.088550457,0.117092236
Qatar,QAT,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,0.41705058,0.437556974,0.44741776,0.445168727,0.441394659,0.433666389,0.448517941,0.438917337,0.434894567,0.437960127,0.426530715,0.429428931,0.430332895,0.426519476,0.429494563,0.431800864,0.423301754,0.420480993,0.403335383,0.380153114,0.35033463,0.350305409,0.363580813,0.389660385,0.419699767,0.444813089,0.434005226,0.414368629,0.391976495,0.369006117,0.351922552,0.350441296,0.347774545,0.345609805,0.345231778,0.343479603,0.347782399,0.349325525,0.350999058,0.345782167,0.337015904,0.321083727,0.303377042,0.284700446,0.270734488,0.256370029,0.242492256,0.233585079,0.229199017,0.224836178,0.220363134,0.210678217,0.199408895,0.190746671,0.187340286,0.19201405,0.209760543,0.230593021
Qatar,QAT,"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,0.381137434,0.366263099,0.341484237,0.330926594,0.31278477,0.299060415,0.287291917,0.274843414,0.266108126,0.256075912,0.2489306,0.244587372,0.245080877,0.246785434,0.251761354,0.260752614,0.255474772,0.2466248,0.234926248,0.220444912,0.207813209,0.217805608,0.218732911,0.206425295,0.185785019,0.162432538,0.14903018,0.139529476,0.13283509,0.129420384,0.13008548,0.142464576,0.157189369,0.172890422,0.184733284,0.190856609,0.193783766,0.195130301,0.195893995,0.198274102,0.203446161,0.185406534,0.167637367,0.149923358,0.134813815,0.123544883,0.116491481,0.103800014,0.084731897,0.072278453,0.080920058,0.118855139,0.167198852,0.210156407,0.232613194,0.233116428,0.226600206,0.209554726
Qatar,QAT,"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,0.611027593,0.601640839,0.588034771,0.580309233,0.56379822,0.548154316,0.539521581,0.524262375,0.515006724,0.502445053,0.489626975,0.488742319,0.497224018,0.5038784,0.52125022,0.535215356,0.498891353,0.459270753,0.423359126,0.382783931,0.345502428,0.362499584,0.356451777,0.330507122,0.289958552,0.25371423,0.237633143,0.236060177,0.240265803,0.244688548,0.247743313,0.256495834,0.26612313,0.271380895,0.273502878,0.268039823,0.259580763,0.246646638,0.235227255,0.229169413,0.232123346,0.229477707,0.230163219,0.231473841,0.229912502,0.224635769,0.221163438,0.213417296,0.203548586,0.200303997,0.211530013,0.231232189,0.258361128,0.282901042,0.296463844,0.298834154,0.300892464,0.29549956
Qatar,QAT,"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,0.728645094,0.668091023,0.625038112,0.590744995,0.566460606,0.546789564,0.52160802,0.493596335,0.478994626,0.465021287,0.45208086,0.439998447,0.435310319,0.440612621,0.456683386,0.477588999,0.461954382,0.445789157,0.430561695,0.411497169,0.384418974,0.338738374,0.295177832,0.259140108,0.236092601,0.223697416,0.231408672,0.242767194,0.256613242,0.268523091,0.279291959,0.299666866,0.314378739,0.322668756,0.323581204,0.317306499,0.327538276,0.341763305,0.361543733,0.386607632,0.416986978,0.395517304,0.383171124,0.374248142,0.359770596,0.331962704,0.27946618,0.28270925,0.327143035,0.378625321,0.404229777,0.369292681,0.320620319,0.274603591,0.242918137,0.224993159,0.21692793,0.217074874
Qatar,QAT,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,1.032927598,1.002734731,0.980057951,0.942008824,0.919881306,0.902026089,0.874284971,0.856498415,0.829733055,0.816809071,0.797536722,0.794799402,0.798234074,0.807041753,0.827753158,0.850901702,0.782772291,0.715283165,0.650771629,0.590618505,0.535166349,0.495526955,0.461350443,0.43660742,0.421441259,0.41309881,0.411846509,0.412924836,0.412570707,0.409129777,0.400835975,0.39246953,0.37801581,0.36164325,0.351646557,0.350909278,0.361738354,0.381921997,0.405727547,0.428425119,0.447250212,0.43721055,0.42262351,0.407658029,0.395126009,0.385446455,0.386215677,0.409074901,0.44736559,0.487102901,0.513948196,0.492867129,0.463506985,0.434284369,0.415256578,0.413682148,0.428162906,0.454193768
Qatar,QAT,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,2.939810907,2.790688629,2.671382614,2.561692889,2.474580786,2.399739247,2.301988878,2.212179153,2.133024324,2.059004302,2.006136202,1.992061897,2.003309483,2.031762994,2.075417686,2.124527866,2.027198049,1.918407393,1.799128547,1.681822388,1.567646073,1.489457734,1.425399068,1.370367618,1.322282585,1.281121911,1.263783762,1.255620458,1.2541855,1.259228787,1.274019037,1.313665278,1.3470779,1.371903199,1.386919611,1.389800469,1.442263509,1.500538712,1.562778192,1.624031736,1.681673975,1.592514662,1.503734944,1.414638113,1.326076787,1.240427675,1.180048734,1.143882189,1.114556387,1.083367908,1.044122638,1.030043226,1.024475153,1.029827952,1.050993948,1.089767277,1.188184002,1.306905738
Qatar,QAT,"Population ages 65 and above, total",SP.POP.65UP.TO,1393,1435,1503,1581,1672,1767,1838,1909,1988,2077,2197,2379,2615,2890,3190,3493,3524,3500,3456,3453,3508,3696,3954,4241,4515,4754,5029,5303,5566,5816,6070,6404,6675,6881,7033,7136,7533,8022,8602,9248,9960,9824,9709,9741,10063,10728,11923,13608,15485,17234,18582,20107,21612,23176,24955,27043,30534,34492
